tau,mag_triple,mag_bin_q4,mag_bin_q2
-2.0000000000e+00,1.0605293259e+00,1.0605121644e+00,1.0605131940e+00
-1.9999199984e+00,1.0605363755e+00,1.0605192138e+00,1.0605202435e+00
-1.9998399968e+00,1.0605434260e+00,1.0605262641e+00,1.0605272940e+00
-1.9997599952e+00,1.0605504775e+00,1.0605333155e+00,1.0605343455e+00
-1.9996799936e+00,1.0605575300e+00,1.0605403678e+00,1.0605413979e+00
-1.9995999920e+00,1.0605645836e+00,1.0605474211e+00,1.0605484514e+00
-1.9995199904e+00,1.0605716380e+00,1.0605544754e+00,1.0605555058e+00
-1.9994399888e+00,1.0605786935e+00,1.0605615307e+00,1.0605625613e+00
-1.9993599872e+00,1.0605857500e+00,1.0605685870e+00,1.0605696177e+00
-1.9992799856e+00,1.0605928074e+00,1.0605756442e+00,1.0605766751e+00
-1.9991999840e+00,1.0605998659e+00,1.0605827025e+00,1.0605837335e+00
-1.9991199824e+00,1.0606069253e+00,1.0605897617e+00,1.0605907929e+00
-1.9990399808e+00,1.0606139857e+00,1.0605968219e+00,1.0605978532e+00
-1.9989599792e+00,1.0606210471e+00,1.0606038832e+00,1.0606049146e+00
-1.9988799776e+00,1.0606281095e+00,1.0606109454e+00,1.0606119769e+00
-1.9987999760e+00,1.0606351729e+00,1.0606180085e+00,1.0606190403e+00
-1.9987199744e+00,1.0606422373e+00,1.0606250727e+00,1.0606261046e+00
-1.9986399728e+00,1.0606493026e+00,1.0606321379e+00,1.0606331699e+00
-1.9985599712e+00,1.0606563690e+00,1.0606392040e+00,1.0606402362e+00
-1.9984799696e+00,1.0606634363e+00,1.0606462712e+00,1.0606473035e+00
-1.9983999680e+00,1.0606705046e+00,1.0606533393e+00,1.0606543718e+00
-1.9983199664e+00,1.0606775739e+00,1.0606604084e+00,1.0606614410e+00
-1.9982399648e+00,1.0606846442e+00,1.0606674786e+00,1.0606685113e+00
-1.9981599632e+00,1.0606917155e+00,1.0606745497e+00,1.0606755825e+00
-1.9980799616e+00,1.0606987878e+00,1.0606816217e+00,1.0606826547e+00
-1.9979999600e+00,1.0607058611e+00,1.0606886948e+00,1.0606897280e+00
-1.9979199584e+00,1.0607129353e+00,1.0606957689e+00,1.0606968022e+00
-1.9978399568e+00,1.0607200106e+00,1.0607028440e+00,1.0607038774e+00
-1.9977599552e+00,1.0607270868e+00,1.0607099200e+00,1.0607109536e+00
-1.9976799536e+00,1.0607341641e+00,1.0607169971e+00,1.0607180308e+00
-1.9975999520e+00,1.0607412423e+00,1.0607240751e+00,1.0607251089e+00
-1.9975199504e+00,1.0607483215e+00,1.0607311541e+00,1.0607321881e+00
-1.9974399488e+00,1.0607554017e+00,1.0607382341e+00,1.0607392683e+00
-1.9973599472e+00,1.0607624829e+00,1.0607453151e+00,1.0607463494e+00
-1.9972799456e+00,1.0607695651e+00,1.0607523971e+00,1.0607534316e+00
-1.9971999440e+00,1.0607766483e+00,1.0607594801e+00,1.0607605147e+00
-1.9971199424e+00,1.0607837324e+00,1.0607665641e+00,1.0607675988e+00
-1.9970399408e+00,1.0607908176e+00,1.0607736491e+00,1.0607746839e+00
-1.9969599392e+00,1.0607979037e+00,1.0607807350e+00,1.0607817700e+00
-1.9968799376e+00,1.0608049909e+00,1.0607878220e+00,1.0607888571e+00
-1.9967999360e+00,1.0608120790e+00,1.0607949099e+00,1.0607959452e+00
-1.9967199344e+00,1.0608191682e+00,1.0608019989e+00,1.0608030343e+00
-1.9966399328e+00,1.0608262583e+00,1.0608090888e+00,1.0608101244e+00
-1.9965599312e+00,1.0608333494e+00,1.0608161797e+00,1.0608172154e+00
-1.9964799296e+00,1.0608404415e+00,1.0608232716e+00,1.0608243075e+00
-1.9963999280e+00,1.0608475346e+00,1.0608303646e+00,1.0608314006e+00
-1.9963199264e+00,1.0608546287e+00,1.0608374585e+00,1.0608384946e+00
-1.9962399248e+00,1.0608617238e+00,1.0608445534e+00,1.0608455897e+00
-1.9961599232e+00,1.0608688199e+00,1.0608516492e+00,1.0608526857e+00
-1.9960799216e+00,1.0608759169e+00,1.0608587461e+00,1.0608597827e+00
-1.9959999200e+00,1.0608830150e+00,1.0608658440e+00,1.0608668807e+00
-1.9959199184e+00,1.0608901141e+00,1.0608729429e+00,1.0608739798e+00
-1.9958399168e+00,1.0608972141e+00,1.0608800427e+00,1.0608810798e+00
-1.9957599152e+00,1.0609043152e+00,1.0608871436e+00,1.0608881808e+00
-1.9956799136e+00,1.0609114172e+00,1.0608942455e+00,1.0608952828e+00
-1.9955999120e+00,1.0609185203e+00,1.0609013483e+00,1.0609023858e+00
-1.9955199104e+00,1.0609256243e+00,1.0609084522e+00,1.0609094898e+00
-1.9954399088e+00,1.0609327293e+00,1.0609155570e+00,1.0609165947e+00
-1.9953599072e+00,1.0609398354e+00,1.0609226628e+00,1.0609237007e+00
-1.9952799056e+00,1.0609469424e+00,1.0609297697e+00,1.0609308077e+00
-1.9951999040e+00,1.0609540504e+00,1.0609368775e+00,1.0609379157e+00
-1.9951199024e+00,1.0609611594e+00,1.0609439863e+00,1.0609450246e+00
-1.9950399008e+00,1.0609682694e+00,1.0609510961e+00,1.0609521346e+00
-1.9949598992e+00,1.0609753804e+00,1.0609582069e+00,1.0609592456e+00
-1.9948798976e+00,1.0609824924e+00,1.0609653188e+00,1.0609663575e+00
-1.9947998960e+00,1.0609896054e+00,1.0609724316e+00,1.0609734705e+00
-1.9947198944e+00,1.0609967194e+00,1.0609795454e+00,1.0609805844e+00
-1.9946398928e+00,1.0610038344e+00,1.0609866602e+00,1.0609876993e+00
-1.9945598912e+00,1.0610109504e+00,1.0609937760e+00,1.0609948153e+00
-1.9944798896e+00,1.0610180674e+00,1.0610008928e+00,1.0610019322e+00
-1.9943998880e+00,1.0610251854e+00,1.0610080105e+00,1.0610090502e+00
-1.9943198864e+00,1.0610323043e+00,1.0610151293e+00,1.0610161691e+00
-1.9942398848e+00,1.0610394243e+00,1.0610222491e+00,1.0610232890e+00
-1.9941598832e+00,1.0610465453e+00,1.0610293699e+00,1.0610304100e+00
-1.9940798816e+00,1.0610536673e+00,1.0610364917e+00,1.0610375319e+00
-1.9939998800e+00,1.0610607902e+00,1.0610436145e+00,1.0610446548e+00
-1.9939198784e+00,1.0610679142e+00,1.0610507382e+00,1.0610517787e+00
-1.9938398768e+00,1.0610750392e+00,1.0610578630e+00,1.0610589036e+00
-1.9937598752e+00,1.0610821651e+00,1.0610649888e+00,1.0610660296e+00
-1.9936798736e+00,1.0610892921e+00,1.0610721156e+00,1.0610731565e+00
-1.9935998720e+00,1.0610964201e+00,1.0610792433e+00,1.0610802844e+00
-1.9935198704e+00,1.0611035490e+00,1.0610863721e+00,1.0610874133e+00
-1.9934398688e+00,1.0611106790e+00,1.0610935019e+00,1.0610945432e+00
-1.9933598672e+00,1.0611178099e+00,1.0611006326e+00,1.0611016741e+00
-1.9932798656e+00,1.0611249419e+00,1.0611077644e+00,1.0611088060e+00
-1.9931998640e+00,1.0611320749e+00,1.0611148972e+00,1.0611159389e+00
-1.9931198624e+00,1.0611392088e+00,1.0611220309e+00,1.0611230729e+00
-1.9930398608e+00,1.0611463438e+00,1.0611291657e+00,1.0611302078e+00
-1.9929598592e+00,1.0611534797e+00,1.0611363015e+00,1.0611373437e+00
-1.9928798576e+00,1.0611606167e+00,1.0611434382e+00,1.0611444806e+00
-1.9927998560e+00,1.0611677547e+00,1.0611505760e+00,1.0611516185e+00
